Fri Dec 15 19:59:41 2023       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 525.89.02    Driver Version: 525.89.02    CUDA Version: 12.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  Off  | 00000000:86:00.0 Off |                    0 |
| N/A   30C    P0    37W / 250W |      0MiB / 32768MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
llama_7b_13b_spanish_500it
Passed argument batch_size = auto:1. Detecting largest batch size
Determined largest batch size: 32
bootstrapping for stddev: perplexity
bootstrapping for stddev: perplexity
hf (pretrained=/home/data_shares/mapillary/llama_7b_13b_spanish_500it), gen_kwargs: (), limit: None, num_fewshot: 0, batch_size: auto (32)
|         Tasks         |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|-----------------------|-------|------|-----:|----------|------:|---|-------:|
|know_dist              |N/A    |none  |     0|acc       | 0.4878|±  |  0.1108|
|                       |       |none  |     0|acc_norm  | 0.3716|±  |  0.0004|
|                       |       |none  |     0|perplexity|17.1241|±  |184.6709|
| - headqa_en           |Yaml   |none  |     0|acc       | 0.3490|±  |  0.0091|
|                       |       |none  |     0|acc_norm  | 0.4066|±  |  0.0094|
| - headqa_es           |Yaml   |none  |     0|acc       | 0.2954|±  |  0.0087|
|                       |       |none  |     0|acc_norm  | 0.3366|±  |  0.0090|
| - lambada_openai_mt_en|Yaml   |none  |     0|perplexity| 3.1672|±  |  0.0646|
|                       |       |none  |     0|acc       | 0.7372|±  |  0.0061|
| - lambada_openai_mt_es|Yaml   |none  |     0|perplexity|45.9344|±  |  2.5838|
|                       |       |none  |     0|acc       | 0.4102|±  |  0.0069|
| - paws_en             |Yaml   |none  |     0|acc       | 0.3315|±  |  0.0105|
| - paws_es             |Yaml   |none  |     0|acc       | 0.3915|±  |  0.0109|
| - paws_zh             |Yaml   |none  |     0|acc       | 0.4700|±  |  0.0112|
| - xnli_en             |Yaml   |none  |     0|acc       | 0.5414|±  |  0.0100|
| - xnli_es             |Yaml   |none  |     0|acc       | 0.4683|±  |  0.0100|
| - xnli_zh             |Yaml   |none  |     0|acc       | 0.3506|±  |  0.0096|
| - xstorycloze_en      |Yaml   |none  |     0|acc       | 0.7790|±  |  0.0107|
| - xstorycloze_es      |Yaml   |none  |     0|acc       | 0.6691|±  |  0.0121|
| - xstorycloze_zh      |Yaml   |none  |     0|acc       | 0.5572|±  |  0.0128|

| Groups  |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|---------|-------|------|-----:|----------|------:|---|-------:|
|know_dist|N/A    |none  |     0|acc       | 0.4878|±  |  0.1108|
|         |       |none  |     0|acc_norm  | 0.3716|±  |  0.0004|
|         |       |none  |     0|perplexity|17.1241|±  |184.6709|

