Fri Dec 15 19:46:33 2023       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 525.89.02    Driver Version: 525.89.02    CUDA Version: 12.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Quadro RTX 8000     Off  | 00000000:AF:00.0 Off |                  Off |
| 33%   34C    P0    23W / 260W |      0MiB / 49152MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
bloom-3B
Passed argument batch_size = auto:1. Detecting largest batch size
Determined largest batch size: 64
bootstrapping for stddev: perplexity
bootstrapping for stddev: perplexity
hf (pretrained=bigscience/bloom-3B), gen_kwargs: (), limit: None, num_fewshot: 0, batch_size: auto (64)
|         Tasks         |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|-----------------------|-------|------|-----:|----------|------:|---|-------:|
|know_dist              |N/A    |none  |     0|acc       | 0.4460|±  |  0.0952|
|                       |       |none  |     0|acc_norm  | 0.3218|±  |  0.0001|
|                       |       |none  |     0|perplexity|28.1288|±  |343.7687|
| - headqa_en           |Yaml   |none  |     0|acc       | 0.2841|±  |  0.0086|
|                       |       |none  |     0|acc_norm  | 0.3341|±  |  0.0090|
| - headqa_es           |Yaml   |none  |     0|acc       | 0.2651|±  |  0.0084|
|                       |       |none  |     0|acc_norm  | 0.3096|±  |  0.0088|
| - lambada_openai_mt_en|Yaml   |none  |     0|perplexity| 9.0950|±  |  0.2645|
|                       |       |none  |     0|acc       | 0.5176|±  |  0.0070|
| - lambada_openai_mt_es|Yaml   |none  |     0|perplexity|67.4189|±  |  3.6399|
|                       |       |none  |     0|acc       | 0.3458|±  |  0.0066|
| - paws_en             |Yaml   |none  |     0|acc       | 0.4380|±  |  0.0111|
| - paws_es             |Yaml   |none  |     0|acc       | 0.4215|±  |  0.0110|
| - paws_zh             |Yaml   |none  |     0|acc       | 0.5270|±  |  0.0112|
| - xnli_en             |Yaml   |none  |     0|acc       | 0.5313|±  |  0.0100|
| - xnli_es             |Yaml   |none  |     0|acc       | 0.4783|±  |  0.0100|
| - xnli_zh             |Yaml   |none  |     0|acc       | 0.3739|±  |  0.0097|
| - xstorycloze_en      |Yaml   |none  |     0|acc       | 0.6678|±  |  0.0121|
| - xstorycloze_es      |Yaml   |none  |     0|acc       | 0.6400|±  |  0.0124|
| - xstorycloze_zh      |Yaml   |none  |     0|acc       | 0.6095|±  |  0.0126|

| Groups  |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|---------|-------|------|-----:|----------|------:|---|-------:|
|know_dist|N/A    |none  |     0|acc       | 0.4460|±  |  0.0952|
|         |       |none  |     0|acc_norm  | 0.3218|±  |  0.0001|
|         |       |none  |     0|perplexity|28.1288|±  |343.7687|

