Fri Dec 15 19:59:41 2023       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 525.89.02    Driver Version: 525.89.02    CUDA Version: 12.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  Off  | 00000000:1D:00.0 Off |                    0 |
| N/A   32C    P0    36W / 250W |      0MiB / 32768MiB |      0%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
llama_7b_13b_both_500it
Passed argument batch_size = auto:1. Detecting largest batch size
Determined largest batch size: 32
bootstrapping for stddev: perplexity
bootstrapping for stddev: perplexity
hf (pretrained=/home/data_shares/mapillary/llama_7b_13b_both_500it), gen_kwargs: (), limit: None, num_fewshot: 0, batch_size: auto (32)
|         Tasks         |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|-----------------------|-------|------|-----:|----------|------:|---|-------:|
|know_dist              |N/A    |none  |     0|acc       | 0.4891|±  |  0.1076|
|                       |       |none  |     0|acc_norm  | 0.3691|±  |  0.0004|
|                       |       |none  |     0|perplexity|16.0134|±  |158.8787|
| - headqa_en           |Yaml   |none  |     0|acc       | 0.3541|±  |  0.0091|
|                       |       |none  |     0|acc_norm  | 0.4041|±  |  0.0094|
| - headqa_es           |Yaml   |none  |     0|acc       | 0.2976|±  |  0.0087|
|                       |       |none  |     0|acc_norm  | 0.3341|±  |  0.0090|
| - lambada_openai_mt_en|Yaml   |none  |     0|perplexity| 3.0804|±  |  0.0649|
|                       |       |none  |     0|acc       | 0.7341|±  |  0.0062|
| - lambada_openai_mt_es|Yaml   |none  |     0|perplexity|42.7100|±  |  2.5854|
|                       |       |none  |     0|acc       | 0.4225|±  |  0.0069|
| - paws_en             |Yaml   |none  |     0|acc       | 0.3480|±  |  0.0107|
| - paws_es             |Yaml   |none  |     0|acc       | 0.4170|±  |  0.0110|
| - paws_zh             |Yaml   |none  |     0|acc       | 0.5065|±  |  0.0112|
| - xnli_en             |Yaml   |none  |     0|acc       | 0.5309|±  |  0.0100|
| - xnli_es             |Yaml   |none  |     0|acc       | 0.4261|±  |  0.0099|
| - xnli_zh             |Yaml   |none  |     0|acc       | 0.3450|±  |  0.0095|
| - xstorycloze_en      |Yaml   |none  |     0|acc       | 0.7783|±  |  0.0107|
| - xstorycloze_es      |Yaml   |none  |     0|acc       | 0.6532|±  |  0.0122|
| - xstorycloze_zh      |Yaml   |none  |     0|acc       | 0.5520|±  |  0.0128|

| Groups  |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|---------|-------|------|-----:|----------|------:|---|-------:|
|know_dist|N/A    |none  |     0|acc       | 0.4891|±  |  0.1076|
|         |       |none  |     0|acc_norm  | 0.3691|±  |  0.0004|
|         |       |none  |     0|perplexity|16.0134|±  |158.8787|

