Fri Dec 15 09:19:37 2023       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 525.89.02    Driver Version: 525.89.02    CUDA Version: 12.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  Off  | 00000000:3F:00.0 Off |                    0 |
| N/A   29C    P0    35W / 250W |      0MiB / 32768MiB |      1%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
llama_7b_13b_english_500it
Using cache at lm_cache/llama_7b_13b_english_500it_rank0.db
Passed argument batch_size = auto:1. Detecting largest batch size
Determined largest batch size: 32
bootstrapping for stddev: perplexity
bootstrapping for stddev: perplexity
hf (pretrained=/home/data_shares/mapillary/llama_7b_13b_english_500it), gen_kwargs: (), limit: None, num_fewshot: 0, batch_size: auto (32)
|         Tasks         |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|-----------------------|-------|------|-----:|----------|------:|---|-------:|
|know_dist              |N/A    |none  |     0|acc       | 0.4931|±  |  0.1090|
|                       |       |none  |     0|acc_norm  | 0.3760|±  |  0.0004|
|                       |       |none  |     0|perplexity|15.2315|±  |139.8444|
| - headqa_en           |Yaml   |none  |     0|acc       | 0.3559|±  |  0.0091|
|                       |       |none  |     0|acc_norm  | 0.4096|±  |  0.0094|
| - headqa_es           |Yaml   |none  |     0|acc       | 0.3034|±  |  0.0088|
|                       |       |none  |     0|acc_norm  | 0.3425|±  |  0.0091|
| - lambada_openai_mt_en|Yaml   |none  |     0|perplexity| 3.0867|±  |  0.0652|
|                       |       |none  |     0|acc       | 0.7353|±  |  0.0061|
| - lambada_openai_mt_es|Yaml   |none  |     0|perplexity|40.3013|±  |  2.2567|
|                       |       |none  |     0|acc       | 0.4401|±  |  0.0069|
| - paws_en             |Yaml   |none  |     0|acc       | 0.3455|±  |  0.0106|
| - paws_es             |Yaml   |none  |     0|acc       | 0.4015|±  |  0.0110|
| - paws_zh             |Yaml   |none  |     0|acc       | 0.4850|±  |  0.0112|
| - xnli_en             |Yaml   |none  |     0|acc       | 0.5398|±  |  0.0100|
| - xnli_es             |Yaml   |none  |     0|acc       | 0.4321|±  |  0.0099|
| - xnli_zh             |Yaml   |none  |     0|acc       | 0.3514|±  |  0.0096|
| - xstorycloze_en      |Yaml   |none  |     0|acc       | 0.7862|±  |  0.0106|
| - xstorycloze_es      |Yaml   |none  |     0|acc       | 0.6704|±  |  0.0121|
| - xstorycloze_zh      |Yaml   |none  |     0|acc       | 0.5539|±  |  0.0128|

| Groups  |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|---------|-------|------|-----:|----------|------:|---|-------:|
|know_dist|N/A    |none  |     0|acc       | 0.4931|±  |  0.1090|
|         |       |none  |     0|acc_norm  | 0.3760|±  |  0.0004|
|         |       |none  |     0|perplexity|15.2315|±  |139.8444|

