Fri Dec 15 00:36:28 2023       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 525.89.02    Driver Version: 525.89.02    CUDA Version: 12.0     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|                               |                      |               MIG M. |
|===============================+======================+======================|
|   0  Tesla V100-PCIE...  Off  | 00000000:3F:00.0 Off |                    0 |
| N/A   28C    P0    35W / 250W |      0MiB / 32768MiB |      1%      Default |
|                               |                      |                  N/A |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                                  |
|  GPU   GI   CI        PID   Type   Process name                  GPU Memory |
|        ID   ID                                                   Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
bloom_3b_7b_english_1000it
Using cache at lm_cache/bloom_3b_7b_english_1000it_rank0.db
Passed argument batch_size = auto:1. Detecting largest batch size
Determined largest batch size: 32
bootstrapping for stddev: perplexity
bootstrapping for stddev: perplexity
hf (pretrained=/home/data_shares/mapillary/bloom_3b_7b_english_1000it), gen_kwargs: (), limit: None, num_fewshot: 0, batch_size: auto (32)
|         Tasks         |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|-----------------------|-------|------|-----:|----------|------:|---|-------:|
|know_dist              |N/A    |none  |     0|acc       | 0.4486|±  |  0.0917|
|                       |       |none  |     0|acc_norm  | 0.3156|±  |  0.0001|
|                       |       |none  |     0|perplexity|24.8449|±  |246.5987|
| - headqa_en           |Yaml   |none  |     0|acc       | 0.2779|±  |  0.0086|
|                       |       |none  |     0|acc_norm  | 0.3308|±  |  0.0090|
| - headqa_es           |Yaml   |none  |     0|acc       | 0.2640|±  |  0.0084|
|                       |       |none  |     0|acc_norm  | 0.3005|±  |  0.0088|
| - lambada_openai_mt_en|Yaml   |none  |     0|perplexity| 8.7300|±  |  0.2607|
|                       |       |none  |     0|acc       | 0.5259|±  |  0.0070|
| - lambada_openai_mt_es|Yaml   |none  |     0|perplexity|58.1099|±  |  3.1639|
|                       |       |none  |     0|acc       | 0.3724|±  |  0.0067|
| - paws_en             |Yaml   |none  |     0|acc       | 0.3950|±  |  0.0109|
| - paws_es             |Yaml   |none  |     0|acc       | 0.4265|±  |  0.0111|
| - paws_zh             |Yaml   |none  |     0|acc       | 0.5450|±  |  0.0111|
| - xnli_en             |Yaml   |none  |     0|acc       | 0.5329|±  |  0.0100|
| - xnli_es             |Yaml   |none  |     0|acc       | 0.4795|±  |  0.0100|
| - xnli_zh             |Yaml   |none  |     0|acc       | 0.3787|±  |  0.0097|
| - xstorycloze_en      |Yaml   |none  |     0|acc       | 0.6678|±  |  0.0121|
| - xstorycloze_es      |Yaml   |none  |     0|acc       | 0.6267|±  |  0.0124|
| - xstorycloze_zh      |Yaml   |none  |     0|acc       | 0.5903|±  |  0.0127|

| Groups  |Version|Filter|n-shot|  Metric  | Value |   | Stderr |
|---------|-------|------|-----:|----------|------:|---|-------:|
|know_dist|N/A    |none  |     0|acc       | 0.4486|±  |  0.0917|
|         |       |none  |     0|acc_norm  | 0.3156|±  |  0.0001|
|         |       |none  |     0|perplexity|24.8449|±  |246.5987|

